Car Make,Car Model,Car Start Year,Car Stop Year,K-MOD,K-TYPE,Car Type,Number of Doors,Car Variation,Solution type,Complete Front Rack ID,Complete Front Rack Name,Complete Rear Rack ID,Complete Rear Rack Name,Bar ID,Bar Name,Foot ID,Foot Name,RackSolution Kit ID,RackSolution Kit Name,CarMiscellaneous,ChassisCode,CompatibleBarForCaprock,CompatibleRackForTent,CompatibleRoofForTent,CompatibleRoofForTent LOV ID,Data product Color Specification,Data product Webtitle1,FootAttachment,RackProduct,Rooftop Tent Compatible
HYUNDAI,Ioniq 9,2025,,,,SUV,5-dr,med integrerte relinger,Roof rack,721420,Thule WingBar Edge,721320,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186205,Thule Kit 186205,,,Yes,No,Yes,1166246,Black,Thule WingBar Edge,Flush,WingBar Edge,No
HYUNDAI,Ioniq 9,2025,,,,SUV,5-dr,med integrerte relinger,Roof rack,721400,Thule WingBar Edge,721300,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186205,Thule Kit 186205,,,Yes,No,Yes,1166246,Aluminum,Thule WingBar Edge,Flush,WingBar Edge,No
WEY,Coffee 02,2022,,,,SUV,5-dr,med integrerte relinger,Roof rack,721420,Thule WingBar Edge,721320,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186166,Thule Kit 186166,,,Yes,No,Yes,1166246,Black,Thule WingBar Edge,Flush,WingBar Edge,No
LINCOLN,Nautilus,2024,,,,SUV,5-dr,med integrerte relinger,Roof rack,721420,Thule WingBar Edge,721420,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186184,Thule Kit 186184,,,Yes,No,Yes,1166246,Black,Thule WingBar Edge,Flush,WingBar Edge,No
LINCOLN,Nautilus,2024,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711220,Thule WingBar Evo,710600,Thule Evo Flush Rail,186184,Thule Kit 186184,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Flush,WingBar Evo,
WEY,Coffee 02,2022,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711300,Thule WingBar Evo,710600,Thule Evo Flush Rail,186166,Thule Kit 186166,,,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Flush,WingBar Evo,
HYUNDAI,Ioniq 9,2025,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711300,Thule WingBar Evo,710600,Thule Evo Flush Rail,186205,Thule Kit 186205,,,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Flush,WingBar Evo,
LINCOLN,Nautilus,2024,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711200,Thule WingBar Evo,710600,Thule Evo Flush Rail,186184,Thule Kit 186184,,,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Flush,WingBar Evo,
WEY,Coffee 02,2022,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711320,Thule WingBar Evo,710600,Thule Evo Flush Rail,186166,Thule Kit 186166,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Flush,WingBar Evo,
LINCOLN,Nautilus,2024,,,,SUV,5-dr,med integrerte relinger,Roof rack,721400,Thule WingBar Edge,721400,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186184,Thule Kit 186184,,,Yes,No,Yes,1166246,Aluminum,Thule WingBar Edge,Flush,WingBar Edge,No
KIA,Tasman,2025,,,,Pickup,4-dr,med integrerte relinger,Roof rack,,,,,711520,Thule WingBar Evo,710600,Thule Evo Flush Rail,186206,Thule Kit 186206,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Flush,WingBar Evo,
WEY,Coffee 02,2022,,,,SUV,5-dr,med integrerte relinger,Roof rack,721400,Thule WingBar Edge,721300,Thule WingBar Edge,,,720600,Thule Edge Flush Rail,186166,Thule Kit 186166,,,Yes,No,Yes,1166246,Aluminum,Thule WingBar Edge,Flush,WingBar Edge,No
HYUNDAI,Ioniq 9,2025,,,,SUV,5-dr,med integrerte relinger,Roof rack,,,,,711320,Thule WingBar Evo,710600,Thule Evo Flush Rail,186205,Thule Kit 186205,,,Yes,Yes,Yes,1166246,Black,Thule WingBar Evo,Flush,WingBar Evo,
KIA,Tasman,2025,,,,Pickup,4-dr,med integrerte relinger,Roof rack,,,,,711500,Thule WingBar Evo,710600,Thule Evo Flush Rail,186206,Thule Kit 186206,,,Yes,Yes,Yes,1166246,Aluminum,Thule WingBar Evo,Flush,WingBar Evo,
