Car Make,Car Model,Car Start Year,Car Stop Year,K-TYPE,Car Type,Number of Doors,Car Variation,Solution Product ID,Complete Front Rack ID,Bar ID,Foot ID,RackSolution Kit ID,Adapter ID
LINCOLN,Nautilus,2024,,,SUV,5-dr,med integrerte relinger,,,390000,710600,186184,
LINCOLN,Nautilus,2024,,,SUV,5-dr,med integrerte relinger,,,712200,710600,186184,
LINCOLN,Nautilus,2024,,,SUV,5-dr,med integrerte relinger,,,891000,710600,186184,
KIA,Tasman,2025,,,Pickup,4-dr,med integrerte relinger,,,711500,710600,186206,
VOLKSWAGEN,Multivan PanAmericana (T6/T6.1),2015,,"[""133871"",""114872"",""114876"",""114879"",""114860"",""114868"",""114891"",""114883"",""114888"",""114841"",""114846"",""114847"",""134534"",""137938"",""116202"",""116065"",""120803""]",Bus,4-dr,,911002,,,,,
VOLKSWAGEN,Multivan (T6/T6.1),2015,2024,"[""133871"",""114872"",""114876"",""114879"",""114860"",""114868"",""114891"",""114883"",""114888"",""114841"",""114846"",""114847"",""134534"",""137938"",""116202"",""116065"",""120803""]",Bus,4-dr,,911002,,,,,
GAZ,Gazelle 2705,1990,,,Bus,5-dr,"med takrenner, med høyt tak",,,765000,953000,,
GAZ,Gazelle 3221,1993,,,Bus,5-dr,"med takrenner, med høyt tak",,,765000,953000,,
LAND ROVER,Discovery,1989,1998,"[""131351"",""14308"",""14307"",""132135"",""3217"",""3216"",""27305"",""23101"",""23102""]",SUV,5-dr,med takrenner,,,765000,953000,,
UAZ,3962,1985,,,Bus,5-dr,med takrenner,,,765000,952000,,
NISSAN,Serena Cargo,1991,2002,,Van,4-dr,med takrenner,,,392000,952000,,
UAZ,3153,1996,2004,,SUV,5-dr,med takrenner,,,765000,952000,,
VOLKSWAGEN,Derby,1977,1981,"[""1596"",""1597"",""1598"",""141631"",""17111""]",Sedan,2-dr,med takrenner,,,391000,952000,,
UAZ,3741,1985,,,Van,5-dr,med takrenner,,,765000,952000,,
UAZ,31514,1993,2004,,SUV,5-dr,med takrenner,,,765000,952000,,
MITSUBISHI,Galloper,1999,2003,,SUV,5-dr,med takrenner,,,392000,952000,,
FORD,Transit,2000,2006,"[""16098"",""16099"",""16879"",""15643"",""15644"",""23848"",""18090"",""18087"",""14849"",""14732"",""14731"",""129077"",""17782"",""27958""]",Van,4-dr,med takrenner,,,766000,952000,,
CHEVROLET,Chevy,1995,2002,,Van,4-dr,med takrenner,,,765000,952000,,
VOLKSWAGEN,Polo,2010,,"[""11897"",""11896"",""31606"",""31607"",""100795"",""100796"",""100797"",""109492"",""109340"",""10254"",""107747"",""58385"",""107947"",""113381"",""30972"",""30975"",""30973"",""30974"",""108640"",""33491"",""122087"",""56205"",""56019"",""105717"",""105727"",""101150"",""101154"",""32813"",""32819""]",Hatchback,3-dr,,995001,,,,,
VOLKSWAGEN,Golf,2020,,"[""143527"",""138699"",""138701"",""138702"",""138700"",""144084"",""142541"",""142300"",""142908"",""142910"",""142889"",""141769"",""141862"",""146184"",""146214"",""146213"",""146244"",""140004"",""140003"",""139749"",""145034"",""145035""]",Hatchback,5-dr,,995001,,,,,
MERCEDES BENZ,E-Class All-Terrain,2017,2023,"[""127682"",""147214"",""141574"",""141548"",""141549"",""132325"",""125165""]",Stasjonsvogn,5-dr,,995001,,,,,
HYUNDAI,i30,2018,,"[""128291"",""134383"",""134382"",""127360"",""127358"",""127359"",""127357"",""141043"",""141046"",""132342"",""140732"",""140730"",""135309""]",Stasjonsvogn,5-dr,,995001,,,,,
FORD,Fiesta,2002,2008,,Hatchback,5-dr,,995001,,,,,
KIA,Rio,2017,,"[""128207"",""134141"",""141324"",""141350"",""141865"",""129376"",""125844"",""125843"",""125842"",""125841"",""125840"",""125839"",""145785""]",Hatchback,5-dr,,995001,,,,,
MG,EHS,2018,2024,"[""143339""]",SUV,5-dr,,995001,,,,,
OPEL,Corsa,2020,,"[""137726"",""137727"",""137724"",""137725"",""136963""]",Hatchback,5-dr,,995001,,,,,
TOYOTA,Verso,2009,2018,,MPV,5-dr,,995001,,,,,
BMW,1-Series,2025,,,Hatchback,5-dr,,995001,,,,,
MERCEDES BENZ,GLA,2014,2020,"[""138000"",""138001"",""110035"",""100830"",""100466"",""100467"",""100474"",""100476"",""100477"",""100478"",""100472"",""100449"",""100453"",""134269"",""107540"",""117987"",""115062"",""115065"",""115054""]",SUV,5-dr,,995001,,,,,
BYD,Dolphin,2021,,,Hatchback,5-dr,,995001,,,,,
MAZDA,CX-30,2020,,"[""143727"",""138817"",""138818"",""138619"",""138618"",""137050"",""137051"",""137049"",""137047"",""137048"",""137046"",""139260"",""139259"",""145069"",""145068""]",SUV,5-dr,,995001,,,,,
SEAT,León X-Perience,2015,2020,"[""31377"",""31372"",""21897"",""21803"",""21804"",""21805"",""31476"",""124051"",""100793"",""100794"",""134395"",""134392"",""29685"",""30569"",""29725"",""133306"",""133303"",""133301"",""108636"",""108637"",""108633"",""108634"",""108635"",""118002"",""106226"",""23695"",""106393"",""106392"",""106395"",""115143"",""101002"",""125720"",""125719"",""135605"",""135729""]",Stasjonsvogn,5-dr,,995001,,,,,
JAC,JS4,2022,,,SUV,5-dr,,995001,,,,,
MITSUBISHI,ASX,2010,2022,"[""59588"",""12007"",""836"",""5517"",""5514"",""133090"",""33436"",""33438"",""33437"",""126680"",""112962"",""112961"",""420"",""376"",""378"",""115706"",""115709"",""52539""]",SUV,5-dr,,995001,,,,,
